IAGA Code,Observatory Name,Latitude,Longitude,Altitude (metres),Country Code,Year Valid From,Year Valid To
AAA,ALMA-ATA,43.250,76.917,1300,KAZ,,
AAE,ADDIS ABABA,9.033,38.767,2442,ETH,,
ABG,ALIBAG,18.617,72.867,7,IND,,
ABK,ABISKO,68.367,18.817,380,SWE,,
AIA,ARGENTINE ISLANDS (FARADAY),-65.250,295.733,10,UKR,,
ALE,ALERT,82.500,297.650,60,CAN,,
AMS,AMSTERDAM ISLAND (MARTIN DE VIVIES),-37.833,77.567,48,FRA,,
AMT,AMATSIA,31.550,34.917,-999,ISR,,
ANC,ANCON,-11.683,282.850,49,PER,,
ANK,ANKARA,39.883,32.767,905,TUR,,
ANN,ANNAMALAINAGAR,11.367,79.683,0,IND,,
API,APIA,-13.800,188.233,4,WSA,,
AQU,L'AQUILA,42.383,13.317,682,ITA,,
ARC,ARCTOWSKI,-62.160,301.522,16,POL,,
ARK,ARKHANGEL'SK,64.583,40.500,-999,RUS,,
ARS,ARTI,56.433,58.567,290,RUS,,
ASC,ASCENSION ISLAND,-7.950,345.617,177,GBR,,
ASH,ASHKHABAD (VANNOVSKAYA),37.950,58.100,570,RUS,,
ASP,ALICE SPRINGS,-23.767,133.883,557,AUS,,
AVE,AVERROES,33.300,352.583,230,MAR,,
BCL,BACLIEU,9.283,105.733,0,VNM,,
BDV,BUDKOV,49.067,14.017,496,CZE,,
BEL,BELSK,51.833,20.800,180,POL,,
BFE,BRORFELDE,55.633,11.667,80,DNK,,
BGY,BAR GYORA,31.717,35083,750,ISR,,
BJI,PEKING 2 (BEIJING),40.033,116.183,69,CHN,,
BJN,BEAR ISLAND (BJORNOYA),74.500,19.000,80,NOR,,
BLC,BAKER LAKE,64.317,263.983,30,CAN,,
BMT,BEIJING MING TOMBS,40.300,116.200,183,CHN,1993,2000
BMT,BEIJING MING TOMBS,40.300,116.200,183,CH1,2001,
BNG,BANGUI,4.433,18.567,395,CAR,,
BOU,BOULDER,40.133,254.767,1650,USA,,
BOX,BOROK,58.033,38.967,-999,RUS
BRW,POINT BARROW,71.300,203.250,0,USA
BSL,"STENNIS (BAY ST LOUIS),",30.400,270.600,0,USA
CBB,CAMBRIDGE BAY,69.117,254.967,20,CAN
CBI,CHICHIJIMA,27.100,142.183,154,JPN
CCS,CAPE CHELYUSKIN,77.717,104.283,10,RUS
CHD,CHENGDU,31.000,103.700,653,CHN
CLF,CHAMBON-LA-FORET,48.017,2.267,145,FRA
CMO,COLLEGE 3,64.867,212.133,90,USA
CNB,CANBERRA,-35.317,149.367,859,AUS
CNH,CHANGCHUN (HELONG),44.050,125.200,234,CHN
COI,COIMBRA (ALTO DA BALEIA),40.217,351.583,99,PRT
CPA,CHA PA,22.350,103.833,0,VNM
CRP,"CHIRIPA (TILARAN, COSTA RICA)",10.433,275.083,1030,CRI
CSY,CASEY,-66.283,110.533,40,AUS
CTA,CHARTERS TOWERS,-20.083,146.267,370,AUS
CTS,CASTELLO TESINO,46.050,11.650,1175,ITA
CWE,UELEN (CAPE WELLEN),66.167,190.167,10,RUS
CZT,PORT ALFRED (CROZET),-46.433,51.867,155,FRA
DIK,DIKSON ISLAND,73.550,80.567,15,RUS
DLN,DALIAN,39.100,121.500,131,JPN
DLR,DEL RIO,29.483,259.083,357,USA
DLT,DALAT,11.917,108.417,0,VNM
DOB,DOMBAS,62.067,9.117,660,NOR
DOU,DOURBES,50.100,4.600,225,BEL
DRV,DUMONT D'URVILLE,-66.667,140.017,30,FRA
DVS,DAVIS,-68.583,77.967,0,AUS
EBR,EBRO (TORTOSA),40.817,0.500,46,ESP
ELT,EILAT,29.667,34.95,250,ISR
ESA,ESASHI,39.233,141.350,396,JPN
ESK,ESKDALEMUIR,55.317,356.800,245,GBR
ETT,ETAIYAPURAM,9.167,78.017,-999,IND
EYR,EYREWELL,-43.417,172.350,120,NZL
FCC,FORT CHURCHILL,58.767,265.917,15,CAN
FRD,FREDERICKSBURG,38.200,282.633,69,USA
FRN,FRESNO,37.083,240.283,0,USA
FUQ,FUQUENE,5.467,286.267,2543,COL
FUR,FURSTENFELDBRUCK,48.167,11.283,572,DEU
GCK,GROCKA,44.633,20.767,231,SCG
GDH,QEQERTARSUAQ (GODHAVN),69.250,306.467,24,DNK
GLM,GOLMUD,36.400,94.900,2802,CHN
GLN,GLENLEA,49.650,262.883,-999,CAN
GNA,GNANGARA,-31.783,115.950,60,AUS
GUA,GUAM,13.583,144.867,150,USA
GUI,GUIMAR,28.317,343.560,868,ESP
GVN,NEUMAYER STATION,-70.667,351.733,0,DEU
GZH,ZHAOQING,22.970,112.450,11,CH2
HAD,HARTLAND,51.000,355.517,95,GBR
HBK,HARTEBEESTHOEK,-25.883,27.700,1522,ZAF
HER,HERMANUS,-34.417,19.233,26,ZAF
HIS,HEISS ISLAND (DRUZHNAYA),80.617,58.050,20,RUS
